Sector,Residential,Commercial,Industrial,Electric Power,Lease and Plant Fuel,Pipeline and Distribution Use,Vehicle Use,Total Consumption,Other
Jan 2014,33.46,18.44,23.3,21.38,3.9,2.78,0.1,103.36,6.78
Feb 2014,30.46,17.5,23.54,19.68,3.99,2.62,0.1,97.9,6.71
Mar 2014,22.58,13.58,21.96,18.09,4.02,2.19,0.1,82.51,6.31
Apr 2014,11.87,8.37,20.93,18.3,4.12,1.71,0.1,65.39,5.93
May 2014,6.56,5.7,19.55,20.87,4.1,1.52,0.1,58.39,5.72
Jun 2014,4.19,4.71,19.53,24.03,4.12,1.51,0.1,58.18,5.73
Jul 2014,3.64,4.44,19.52,27.2,4.21,1.58,0.1,60.68,5.89
Aug 2014,3.39,4.42,19.63,28.96,4.23,1.62,0.1,62.36,5.95
Sep 2014,4.06,4.96,19.7,25.7,4.23,1.57,0.1,60.31,5.9
Oct 2014,6.84,6.53,19.67,22.69,4.27,1.6,0.1,61.7,5.97
Nov 2014,18.12,12.05,21.99,20.01,4.24,2.08,0.1,78.58,6.42
Dec 2014,23.13,13.77,22.26,20.61,4.28,2.29,0.1,86.42,6.67
Jan 2015,30.26,17.18,23.17,22.95,4.28,2.54,0.11,100.48,6.93
Feb 2015,32.23,18.48,23.56,23.16,4.3,2.65,0.11,104.47,7.06
Mar 2015,20.42,12.44,21.34,22.86,4.32,2.09,0.11,83.59,6.52
Apr 2015,10.64,7.74,20.26,22.14,4.38,1.65,0.11,66.93,6.14
May 2015,5.73,5.18,19.45,23.69,4.32,1.47,0.11,59.94,5.9
Jun 2015,4.14,4.51,19.16,29.55,4.31,1.56,0.11,63.33,5.98
Jul 2015,3.49,4.31,19.09,33.73,4.32,1.65,0.11,66.7,6.08
Aug 2015,3.32,4.36,19.35,33.12,4.33,1.64,0.11,66.22,6.08
Sep 2015,3.62,4.6,19.3,29.83,4.35,1.56,0.11,63.38,6.02
Oct 2015,6.5,6.29,19.77,25.53,4.32,1.58,0.11,64.11,6.01
Nov 2015,13.55,9.44,21.28,24.41,4.3,1.87,0.11,74.97,6.28
Dec 2015,19.06,11.37,21.76,24.79,4.3,2.09,0.11,83.49,6.5
Jan 2016,28.35,16.23,23.26,24.97,4.27,2.53,0.11,99.73,6.91
Feb 2016,23.8,14.26,22.85,23.79,4.34,2.31,0.11,91.46,6.76
Mar 2016,14.68,9.63,21.38,24.02,4.29,1.9,0.11,76.01,6.3
Apr 2016,10.94,7.77,20.67,23.96,4.28,1.73,0.11,69.46,6.12
May 2016,6.26,5.53,19.76,25.95,4.23,1.57,0.11,63.41,5.91
Jun 2016,4.09,4.61,19.68,32.34,4.19,1.66,0.11,66.69,5.96
Jul 2016,3.43,4.34,19.89,36.77,4.23,1.76,0.11,70.54,6.1
Aug 2016,3.24,4.53,20.24,37.14,4.19,1.78,0.11,71.24,6.08
Sep 2016,3.66,4.73,20.13,30.51,4.17,1.61,0.11,64.93,5.89
Oct 2016,6.04,6.18,20.09,23.99,4.15,1.54,0.11,62.1,5.8
Nov 2016,12.66,9.35,21.8,22.07,4.19,1.8,0.11,71.98,6.1
Dec 2016,25.62,14.93,23.68,21.64,4.14,2.34,0.11,92.46,6.59
Jan 2017,26.8,15.46,23.68,21.3,4.09,2.54,0.13,93.99,6.76
Feb 2017,20.69,12.84,23.21,20.33,4.15,2.24,0.13,83.58,6.52
Mar 2017,18.71,11.99,22.46,21.7,4.24,2.18,0.13,81.4,6.55
Apr 2017,9.3,7.07,21.05,20.91,4.25,1.7,0.13,64.4,6.08
May 2017,6.43,5.76,20.27,22.58,4.25,1.6,0.13,61.03,5.98
Jun 2017,4.14,4.6,20.48,28.35,4.29,1.68,0.13,63.68,6.1
Jul 2017,3.47,4.31,20.11,34.89,4.34,1.83,0.13,69.08,6.3
Aug 2017,3.35,4.43,20.55,32.97,4.33,1.79,0.13,67.54,6.25
