,period,state,stateDescription,electric-utilities,independent-power-producers,combined-heat-and-pwr-elect,elect-pwr-sector-gen-subtotal,combined-heat-and-pwr-comm,combined-heat-and-pwr-indust,indust-and-comm-gen-subtotal,total-net-generation,total-international-imports,total-supply,full-service-providers,energy-only-providers,facility-direct,total-elect-indust,direct-use,total-international-exports,estimated-losses,net-interstate-trade,unaccounted,total-disposition,net-trade-index,electric-utilities-units,independent-power-producers-units,combined-heat-and-pwr-elect-units,elect-pwr-sector-gen-subtotal-units,combined-heat-and-pwr-comm-units,combined-heat-and-pwr-indust-units,indust-and-comm-gen-subtotal-units,total-net-generation-units,total-international-imports-units,total-supply-units,full-service-providers-units,energy-only-providers-units,facility-direct-units,total-elect-indust-units,direct-use-units,total-international-exports-units,estimated-losses-units,net-interstate-trade-units,unaccounted-units,total-disposition-units,net-trade-index-units
0,2008,AK,Alaska,6262148,0,177106,6439254,225098,110483,335581,6774834,1230.0,6776064,6325944,0,0.0,6325944,328146.0,0.0,402966,0,-280991,6776064,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1,2010,AK,Alaska,6205050,0,204196,6409246,234386,115944,350330,6759576,1057.0,6760633,6247038,0,,6247038,342426.0,0.0,385928,0,-214759,6760633,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
2,2006,AK,Alaska,6068520,0,187376,6255896,230541,187760,418301,6674197,1239.0,6675436,6182291,0,0.0,6182291,289065.0,0.0,400853,0,92003,6675436,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
3,2009,AK,Alaska,6166762,0,209379,6376141,216819,109199,326019,6702159,1208.0,6703367,6270171,0,,6270171,337332.0,0.0,399143,0,-303279,6703367,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
4,2005,AK,Alaska,5946148,0,173942,6120090,245324,211245,456569,6576659,1303.0,6577962,5912571,0,0.0,5912571,329542.0,0.0,395171,0,269890,6577962,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
5,2007,AK,Alaska,6146078,80133,210155,6436366,237621,147405,385025,6821392,1301.0,6822693,6326610,0,0.0,6326610,266640.0,0.0,400427,0,-170984,6822693,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
6,2011,AK,Alaska,6273844,0,209150,6482994,275338,112700,388039,6871033,1137.0,6872170,6319540,0,,6319540,377445.0,0.0,390507,0,-215323,6872170,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
7,2017,AK,Alaska,5822931,50322,180906,6054159,335453,107854,443307,6497466,786.0,6498252,6185799,0,,6185799,232275.0,0.0,336498,0,-256320,6498252,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
8,2015,AK,Alaska,5746428,54562,198296,5999286,164763,120889,285652,6284937,0.0,6284937,6159204,0,,6159204,256321.0,0.0,307181,0,-437768,6284937,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
9,2018,AK,Alaska,5575087,56327,177819,5809233,328028,110098,438126,6247359,630.0,6247989,5972467,0,,5972467,236992.0,0.0,308046,0,-269516,6247989,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
